"558";"Rosch HaSchana"
"561";"Jom Kippur"
"563";"Sukkot"
"564";"Simchat Thora"
"569";"Hannukah"
"570";"Tu BiSchwat"
"572";"Purim"
"573";"Pessach"
"574";"Lag Ba'omer"
"575";"Schawuoth"
"576";"Schiw´a Assar be Tamus – Der Fasttag am 17. Tammus"
"577";"Tischa Be’Aw- der Neunte Aw"
"593";"Schabbat"
"594";"Rosch Chodesch"
"2094";"10. Tewet"
